loss,accuracy,val_loss,val_accuracy,lr
0.35187891125679016,0.8896279335021973,0.05556866154074669,0.9821428656578064,0.0010000000474974513
0.11213816702365875,0.9665836095809937,0.03754418343305588,0.9883333444595337,0.0010000000474974513
0.0830530896782875,0.9745336174964905,0.0544307716190815,0.9840475916862488,0.0010000000474974513
0.0708535760641098,0.9786410927772522,0.050117671489715576,0.9857142567634583,0.0010000000474974513
0.06021473929286003,0.9811055660247803,0.03224656358361244,0.9900000095367432,0.0010000000474974513
0.05521685630083084,0.983172595500946,0.029822474345564842,0.9904761910438538,0.0010000000474974513
0.0523001030087471,0.9837555885314941,0.04576510190963745,0.9840475916862488,0.0010000000474974513
0.050646550953388214,0.9850010871887207,0.03409651666879654,0.9897618889808655,0.0010000000474974513
0.04503965005278587,0.9862730503082275,0.026337595656514168,0.9923809766769409,0.0010000000474974513
0.04381097853183746,0.9865910410881042,0.027833055704832077,0.9897618889808655,0.0010000000474974513
0.045118361711502075,0.9864850640296936,0.021812304854393005,0.9930952191352844,0.0010000000474974513
0.03822311758995056,0.9883665442466736,0.031419869512319565,0.991190493106842,0.0010000000474974513
0.04007566347718239,0.9878365397453308,0.029932783916592598,0.9909523725509644,0.0010000000474974513
0.037069715559482574,0.9887640476226807,0.046694934368133545,0.9873809814453125,0.0010000000474974513
0.03251809626817703,0.9904070496559143,0.019684992730617523,0.9938095211982727,0.0005000000237487257
0.029742857441306114,0.9910695552825928,0.028778016567230225,0.9919047355651855,0.0005000000237487257
0.029857587069272995,0.9911755323410034,0.021612269803881645,0.9942857027053833,0.0005000000237487257
0.027591083198785782,0.9917585253715515,0.025715835392475128,0.9938095211982727,0.0005000000237487257
0.028660889714956284,0.9914140105247498,0.02332540601491928,0.9933333396911621,0.0005000000237487257
0.02874859981238842,0.9907515645027161,0.021707359701395035,0.993571400642395,0.0005000000237487257
